"id","year","arousal","cohesivity","creativity","valence","group","life"
"1591721298-8086",1881,0.423230518683,0.542385652032,0.360986886041,0.418248734044,"Before","Novice Artist"
"1591721298-8087",1882,0.485339815296,0.605168231923,0.513196477652,0.580456577378,"Before","Novice Artist"
"1591721298-8088",1882,0.463009932768,0.418149841803,0.415916052236,0.561098180229,"Before","Novice Artist"
"1591721298-8089",1882,0.465737097022,0.562041657404,0.445468707755,0.520199361751,"Before","Novice Artist"
"1591721298-8090",1882,0.440639637452,0.579656261692,0.514167888942,0.478357716923,"Before","Novice Artist"
"1591721298-8091",1882,0.520948703665,0.560950826759,0.554475202592,0.48236079553,"Before","Novice Artist"
"1591721298-8092",1882,0.465907397726,0.531765357066,0.545766465105,0.492623178153,"Before","Novice Artist"
"1591721298-8093",1882,0.590593497259,0.488745168821,0.601247300793,0.691143556585,"Before","Novice Artist"
"1591721298-8094",1882,0.412771308836,0.62453079967,0.449770379993,0.489718693505,"Before","Novice Artist"
"1591721298-8095",1882,0.48220424912,0.432244556487,0.534403556134,0.407943376259,"Before","Novice Artist"
"1591721298-8096",1882,0.35484401654,0.395745042449,0.535112793205,0.384846612192,"Before","Novice Artist"
"1591721298-8097",1882,0.527698865974,0.544122894945,0.435099872576,0.62851775796,"Before","Novice Artist"
"1591721298-8098",1882,0.463564179458,0.354943651878,0.425741760537,0.333807995641,"Before","Novice Artist"
"1591721298-8099",1882,0.481940709292,0.496157348759,0.458967175193,0.346494541528,"Before","Novice Artist"
"1591721298-8100",1882,0.515648383467,0.48686471447,0.416457286353,0.450015132918,"Before","Novice Artist"
"1591721298-8101",1883,0.501311296892,0.672616205339,0.577468283946,0.59879300993,"Before","Novice Artist"
"1591721298-8102",1883,0.484866139996,0.457313141502,0.468915670865,0.395578891338,"Before","Novice Artist"
"1591721298-8103",1883,0.511287255736,0.549772803191,0.554572489792,0.526774778678,"Before","Novice Artist"
"1591721298-8104",1883,0.491442803419,0.459173875628,0.500434743828,0.445367476613,"Before","Novice Artist"
"1591721298-8105",1883,0.412396571622,0.555327158059,0.45461571572,0.493703810378,"Before","Novice Artist"
"1591721298-8106",1883,0.357777192945,0.507928690025,0.532235471441,0.580821647568,"Before","Novice Artist"
